poi_id,name,type,lon,lat,district
B0FFMEDSU1,天津华宇航空货运站,物流速递,117.335231,39.136422,东丽区
B0JRMMO9J8,七星国际物流,物流速递,117.3399,39.110092,东丽区
B0JAZ77S4R,萌萌物流廊坊专线,物流速递,117.356033,39.225872,东丽区
B0FFH91PIJ,天津飞虎物流有限公司,物流速递,117.341836,39.102506,东丽区
B0K0THOQWZ,天津三志物流分拨中心,物流速递,117.354139,39.225859,东丽区
B0JRNUADBD,顺丰速运(新立街店),物流速递,117.350878,39.083254,东丽区
B00160A4WM,恒隆国际物流,物流速递,117.329912,39.143455,东丽区
B0GU4SSTMV,天津市宝利通物流有限公司,物流速递,117.353659,39.231478,东丽区
B0FFLFELQM,天津凌宇物流,物流速递,117.357027,39.232644,东丽区
B00160DK75,金环城物流中心,物流速递,117.372589,39.075594,东丽区
B0G13U1VBE,天津市东丽区魏王储运有限公司,物流速递,117.452388,39.039178,东丽区
B0GUJ4OQIB,顺丰速运(登州路店),物流速递,117.300773,39.135819,东丽区
B0GKNM7BYD,利腾达物流,物流速递,117.353868,39.231926,东丽区
B0FFJD268R,汇百和物流,物流速递,117.249407,39.187671,东丽区
B0IRRCFISZ,顺丰速运(中心大道店),物流速递,117.405487,39.1436,东丽区
B0FFMF2X85,徐庄子振东物流,物流速递,117.255547,39.187068,东丽区
B0FFLFC1HE,博仕达物流青岛专线,物流速递,117.354319,39.231699,东丽区
B0FFLA7UEM,顺丰速运(瑞航店),物流速递,117.392596,39.157402,东丽区
B0016112AX,东铁物流,物流速递,117.446737,39.049869,东丽区
B0J2CLZKM7,猛犸(天津)国际物流有限公司,物流速递,117.353893,39.231084,东丽区
B0G35UUM65,顺丰速运(新中村店),物流速递,117.282216,39.208344,东丽区
B0GUVGVBW6,中通快递(河东七部),物流速递,117.3139,39.117349,东丽区
B0JG2MAT7F,天津晨光领航达物流德州宁津专线,物流速递,117.354719,39.226526,东丽区
B0GU9ZUGPN,轩轩物流沧州廊坊全境,物流速递,117.354697,39.229304,东丽区
B0J0FSPEQG,洲能物流,物流速递,117.303784,39.226878,东丽区
B0LRNSKC9O,顺丰速运(天津主仓营业部),物流速递,117.389012,39.135993,东丽区
B0FFKXRPIA,天津佳宝双赢物流有限公司,物流速递,117.35505,39.22982,东丽区
B0LGN9X0Z6,佳吉快运(徐庄路店),物流速递,117.251477,39.189378,东丽区
B0FFF47UOP,天津市全鑫运输队(金河家园西),物流速递,117.278004,39.203469,东丽区
B0FFHQ1GH6,老圆通,物流速递,117.415741,39.107717,东丽区
B0FFIN51Z6,顺丰速运(融创城店),物流速递,117.306519,39.115578,东丽区
B0FFH4TDKA,圆通速递(三号路店),物流速递,117.330223,39.137975,东丽区
B0G2RAI2NS,长吉物流营口专线,物流速递,117.355113,39.232279,东丽区
B0ID7UAOTY,天津湘商贸易食材配送中心,物流速递,117.247311,39.185593,东丽区
B0JAVX3NQR,菜鸟驿站(嘉春园店),物流速递,117.300239,39.105538,东丽区
B0FFLIC5W3,安能物流(津塘公路店),物流速递,117.37362,39.075074,东丽区
B0FFKZVIOT,菜鸟驿站(天津金河家园33号楼旁存车处店),物流速递,117.280537,39.205848,东丽区
B0FFL94KNH,天津晶鑫物流有限公司,物流速递,117.356535,39.228046,东丽区
B0I0AX780I,菜鸟驿站(上东金茂智慧科学城一期店),物流速递,117.291815,39.113414,东丽区
